,MIENTRAS,PARENTESIS_ABRIR,PARENTESIS_CERRAR,LLAVE_ABRIR,LLAVE_CERRAR,PARA,IDENTIFICADOR,IGUALDAD,P_COMA,CONDICIONES_SI,CONDICIONES_SINO,INGRESA,IMPRESOR,OP_LOGICOAND,OP_LOGICOOR,MAYOR_Q,MENOR_Q,MAYOR_IGUAL,MENOR_IGUAL,OP_SUMA,OP_RESTA,OP_MULTIPLICACION,OP_DIVISION,COMPARACION,INCREMENTO,COMPARACION_IGUALDAD,SUM_ASIGNACION,DECREMENTO,NUM_ENTERO,NUM_DECIMAL,NUM_CHAR,CADENA_TEXTO,NUM_BOOLEANOV,NUM_BOOLEANOF,DATO_ENTERO,DATO_DECIMAL,DATO_CARACTER,DATO_BOOLEANO,DATO_TEXTO,$
INICIO,SENTENCIA,,,,,SENTENCIA,,,,SENTENCIA,,SENTENCIA,SENTENCIA,,,,,,,,,,,,,,,,,,,,,,SENTENCIA,SENTENCIA,SENTENCIA,SENTENCIA,SENTENCIA,SENTENCIA
SENTENCIA,MIENTRAS PARENTESIS_ABRIR DATO COMPARACIONES DATO PARENTESIS_CERRAR LLAVE_ABRIR SENTENCIA LLAVE_CERRAR SENTENCIA,,,,e,PARA PARENTESIS_ABRIR IDENTIFICADOR IGUALDAD DATO P_COMA IDENTIFICADOR COMPARACIONES DATO P_COMA IDENTIFICADOR IGUALDAD CALCULADORA PARENTESIS_CERRAR LLAVE_ABRIR SENTENCIA LLAVE_CERRAR SENTENCIA,,,,CONDICIONES_SI PARENTESIS_ABRIR CALCULADORA PARENTESIS_CERRAR LLAVE_ABRIR SENTENCIA LLAVE_CERRAR SINO SENTENCIA,,INGRESA IDENTIFICADOR P_COMA SENTENCIA,IMPRESOR CALCULADORA P_COMA SENTENCIA,,,,,,,,,,,,,,,,,,,,,,DECLARACION P_COMA SENTENCIA,DECLARACION P_COMA SENTENCIA,DECLARACION P_COMA SENTENCIA,DECLARACION P_COMA SENTENCIA,DECLARACION P_COMA SENTENCIA,e
SINO,e,,,,e,e,,,,e,CONDICIONES_SINO LLAVE_ABRIR SENTENCIA LLAVE_CERRAR,e,e,,,,,,,,,,,,,,,,,,,,,,e,e,e,e,e,e
LOGICO,,,,,,,,,,,,,,OP_LOGICOAND CALCULADORA LOGICO,OP_LOGICOOR CALCULADORA LOGICO,,,,,,,,,,,,,,,,,,,,,,,,,
COMPARACIONES,,,,,,,,,,,,,,,,MAYOR_Q,MENOR_Q,MAYOR_IGUAL,MENOR_IGUAL,,,,,,,,,,,,,,,,,,,,,
DECLARACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO_DATO IDENTIFICADOR ASG_VARIABLE,TIPO_DATO IDENTIFICADOR ASG_VARIABLE,TIPO_DATO IDENTIFICADOR ASG_VARIABLE,TIPO_DATO IDENTIFICADOR ASG_VARIABLE,TIPO_DATO IDENTIFICADOR ASG_VARIABLE,
ASG_VARIABLE,,,,,,,,IGUALDAD CALCULADORA,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALCULADORA,,DATO OP,,,,,DATO OP,,,,,,,,,,,,,,,,,,,,,,DATO OP,DATO OP,DATO OP,DATO OP,DATO OP,DATO OP,,,,,,
OP,,,e,,,,,,e,,,,,e,e,,,,,OP_SUMA DATO OP,OP_RESTA DATO OP,OP_MULTIPLICACION DATO OP,OP_DIVISION DATO OP,COMPARACION DATO OP,INCREMENTO DATO OP,COMPARACION_IGUALDAD DATO OP,SUM_ASIGNACION DATO OP,DECREMENTO DATO OP,,,,,,,,,,,,
DATO,,PARENTESIS_ABRIR CALCULADORA PARENTESIS_CERRAR,,,,,IDENTIFICADOR,,,,,,,,,,,,,,,,,,,,,,NUM_ENTERO,NUM_DECIMAL,NUM_CHAR,CADENA_TEXTO,NUM_BOOLEANOV,NUM_BOOLEANOF,,,,,,
TIPO_DATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATO_ENTERO,DATO_DECIMAL,DATO_CARACTER,DATO_BOOLEANO,DATO_TEXTO,
